id,original,segmented,tagged
355,"تیاره ساحه دا د انسان د شخصیت له هغې ساحې څخه عبارت ده ، چې نه پخپله شخص او نه نور خلک ترې خبر وي","تیارهBساحهBداBدBانسانBدBشخصیتBلهBهغېBساحېBڅخهBعبارتBدهB،BچېBنهBپخپلهBشخصBاوBنهBنورBخلکBترېBخبرBوي","[[""تیاره"", ""NN.C.1.F""], [""ساحه"", ""NN.C.1.F""], [""دا"", ""DT""], [""د"", ""IN""], [""انسان"", ""NN.C.1.M""], [""د"", ""IN""], [""شخصیت"", ""NN.C.1.F""], [""له"", ""IN""], [""هغې"", ""PR.P.iii""], [""ساحې"", ""JJ""], [""څخه"", ""PT""], [""عبارت"", ""NN.C.1.M""], [""ده"", ""VB.PC""], [""،"", ""PU""], [""چې"", ""CC""], [""نه"", ""PT""], [""پخپله"", ""RB""], [""شخص"", ""NN.C.1.M""], [""او"", ""CC""], [""نه"", ""PT""], [""نور"", ""JJ""], [""خلک"", ""NN.C.2""], [""ترې"", ""PR.P.iii""], [""خبر"", ""NN.C.1.M""], [""وي"", ""VB.DC""]]"
356,د امریکا د بهرنیو چارو وزیر له ناټو سره په ګډه د افغانستان په هکله مهمې خبرې کوي او د راتلوونکي اقداماتو په هکله یو له بل سره نظرونه تبادله کوي,دBامریکاBدBبهرنیوSچاروSوزیرBلهBناټوBسرهBپهBګډهBدBافغانستانBپهBهکلهBمهمېBخبرېBکويBاوBدBراتلوونکيBاقداماتوBپهBهکلهBیوBلهBبلBسرهBنظرونهBتبادلهBکوي,"[[""د"", ""IN""], [""امریکا"", ""NN.P""], [""د"", ""IN""], [""بهرنیو چارو وزیر"", ""NN.C.1.M""], [""له"", ""IN""], [""ناټو"", ""NN.P""], [""سره"", ""PT""], [""په"", ""IN""], [""ګډه"", ""JJ""], [""د"", ""IN""], [""افغانستان"", ""NN.P""], [""په"", ""IN""], [""هکله"", ""RB""], [""مهمې"", ""JJ""], [""خبرې"", ""NN.C.1.F""], [""کوي"", ""VB.PX""], [""او"", ""CC""], [""د"", ""IN""], [""راتلوونکي"", ""JJ""], [""اقداماتو"", ""NN.C.2""], [""په"", ""IN""], [""هکله"", ""RB""], [""یو"", ""DT""], [""له"", ""IN""], [""بل"", ""JJ""], [""سره"", ""PT""], [""نظرونه"", ""NN.C.2""], [""تبادله"", ""NN.C.1.F""], [""کوي"", ""VB.PX""]]"
357,ميروائس خان نيکه ورته وايې چې مور مو چيري ده,ميروائسSخانBنيکهBورتهBوايېBچېBمورBموBچيريBده,"[[""ميروائس خان"", ""NN.P""], [""نيکه"", ""NN.C.1.M""], [""ورته"", ""PR.P.iii""], [""وايې"", ""VB.P""], [""چې"", ""CC""], [""مور"", ""NN.C.1.F""], [""مو"", ""PR.C""], [""چيري"", ""RB""], [""ده"", ""VB.PC""]]"
358,میرمن مارش شپږ ساعته وروسته د هلیکوپتر په وسیله د بارسلونا ښار یو روغتون ته انتقال شوه او د ډاکترانو په هڅه یې زړه بیرته فعال شو,میرمنBمارشBشپږBساعتهBوروستهBدBهلیکوپترBپهBوسیلهBدBبارسلوناBښارBیوBروغتونBتهBانتقالBشوهBاوBدBډاکترانوBپهBهڅهBیېBزړهBبیرتهBفعالBشو,"[[""میرمن"",""NN.C.1.F""],[""مارش"",""NN.C.1.M""],[""شپږ"",""NB""],[""ساعته"",""NN.C.2""],[""وروسته"",""RB""],[""د"",""IN""],[""هلیکوپتر"",""NN.C.1.M""],[""په"",""IN""],[""وسیله"",""NN.C.1.F""],[""د"",""IN""],[""بارسلونا"",""NN.P""],[""ښار"",""NN.C.1.M""],[""یو"",""DT""],[""روغتون"",""NN.C.1.M""],[""ته"",""PT""],[""انتقال"",""NN.C.1.M""],[""شوه"",""VB.DX""],[""او"",""CC""],[""د"",""IN""],[""ډاکترانو"",""NN.C.2""],[""په"",""IN""],[""هڅه"",""NN.C.1.F""],[""یې"",""PR.C""],[""زړه"",""NN.C.1.F""],[""بیرته"",""RB""],[""فعال"",""JJ""],[""شو"",""VB.DX""]]"
359,مایک اسپر وایي چې طالبانو دې په اوربند سره وښیي چې سولې او بین الافغاني مذاکراتو ته ژمن دي,مایکBاسپرBوایيBچېBطالبانوBدېBپهBاوربندBسرهBوښیيBچېBسولېBاوBبینSالافغانيBمذاکراتوBتهBژمنBدي,"[[""مایک"", ""NN.P""], [""اسپر"", ""NN.P""], [""وایي"", ""VB.P""], [""چې"", ""CC""], [""طالبانو"", ""NN.C.2""], [""دې"", ""DT""], [""په"", ""IN""], [""اوربند"", ""NN.C.1.M""], [""سره"", ""PT""], [""وښیي"", ""VB.H""], [""چې"", ""CC""], [""سولې"", ""NN.C.1.F""], [""او"", ""CC""], [""بین الافغاني"", ""JJ""], [""مذاکراتو"", ""NN.C.2""], [""ته"", ""PT""], [""ژمن"", ""JJ""], [""دي"", ""VB.PC""]]"
360,"رپوټونو کې ویل شوي ، ځینې کسان نیول شوي هم دي او له ځینو نورو چې نغد ډالر یې جېب ته کړي ، غوښتل شوي چې بېرته یې وسپاري","رپوټونوBکېBویلBشويB،BځینېBکسانBنیولBشويBهمBديBاوBلهBځینوBنوروBچېBنغدBډالرBیېBجېبBتهBکړيB،BغوښتلBشويBچېBبېرتهBیېBوسپاري","[[""رپوټونو"", ""NN.C.2""], [""کې"", ""PT""], [""ویل"", ""VB.INF""], [""شوي"", ""VB.DX""], [""،"", ""PU""], [""ځینې"", ""JJ""], [""کسان"", ""NN.C.2""], [""نیول"", ""VB.INF""], [""شوي"", ""VB.DX""], [""هم"", ""RB""], [""دي"", ""VB.PC""], [""او"", ""CC""], [""له"", ""IN""], [""ځینو"", ""JJ""], [""نورو"", ""RB""], [""چې"", ""CC""], [""نغد"", ""JJ""], [""ډالر"", ""NN.C.1.M""], [""یې"", ""PR.C""], [""جېب"", ""NN.C.1.M""], [""ته"", ""PT""], [""کړي"", ""VB.DX""], [""،"", ""PU""], [""غوښتل"", ""VB.INF""], [""شوي"", ""VB.DX""], [""چې"", ""CC""], [""بېرته"", ""RB""], [""یې"", ""PR.C""], [""وسپاري"", ""VB.H""]]"
361,اسلامي هېوادونه د سوريې حکومت يو ظالم حکومت بولي او له روسیې په دې خفه دي چې د سوریې د مشر په ملاتړ یې په دې هېواد ډېری بې رحمه بمبارۍ وکړې او په لسګونه زره بې ګناه مسلمانان یې ووژل,اسلاميBهېوادونهBدBسوريېBحکومتBيوBظالمBحکومتBبوليBاوBلهBروسیېBپهBدېBخفهBديBچېBدBسوریېBدBمشرBپهBملاتړBیېBپهBدېBهېوادBډېریBبېSرحمهBبمبارۍBوکړېBاوBپهBلسګونهBزرهBبېSګناهBمسلمانانBیېBووژل,"[[""اسلامي"", ""JJ""], [""هېوادونه"", ""NN.C.2""], [""د"", ""IN""], [""سوريې"", ""JJ""], [""حکومت"", ""NN.C.1.M""], [""يو"", ""DT""], [""ظالم"", ""JJ""], [""حکومت"", ""NN.C.1.M""], [""بولي"", ""VB.P""], [""او"", ""CC""], [""له"", ""IN""], [""روسیې"", ""NN.P""], [""په"", ""IN""], [""دې"", ""DT""], [""خفه"", ""JJ""], [""دي"", ""VB.PC""], [""چې"", ""CC""], [""د"", ""IN""], [""سوریې"", ""JJ""], [""د"", ""IN""], [""مشر"", ""JJ""], [""په"", ""IN""], [""ملاتړ"", ""NN.C.1.M""], [""یې"", ""PR.C""], [""په"", ""IN""], [""دې"", ""DT""], [""هېواد"", ""NN.C.1.M""], [""ډېری"", ""NN.C.1.M""], [""بې رحمه"", ""JJ""], [""بمبارۍ"", ""NN.C.1.F""], [""وکړې"", ""VB.H""], [""او"", ""CC""], [""په"", ""IN""], [""لسګونه"", ""JJ""], [""زره"", ""NB""], [""بې ګناه"", ""JJ""], [""مسلمانان"", ""NN.C.1.F""], [""یې"", ""PR.C""], [""ووژل"", ""VB.INF""]]"
362,افغانستان دا مهال تر ډېره خپل دارودرمل له بهر نه او په ځانګړي ډول له پاکستان نه واردوي,افغانستانBداBمهالBترBډېرهBخپلBدارودرملBلهBبهرBنهBاوBپهBځانګړيBډولBلهBپاکستانBنهBواردوي,"[[""افغانستان"",""NN.P""],[""دا"",""DT""],[""مهال"",""RB""],[""تر"",""IN""],[""ډېره"",""JJ""],[""خپل"",""JJ""],[""دارودرمل"",""NN.C.2""],[""له"",""IN""],[""بهر"",""RB""],[""نه"",""PT""],[""او"",""CC""],[""په"",""IN""],[""ځانګړي"",""JJ""],[""ډول"",""NN.C.1.M""],[""له"",""IN""],[""پاکستان"",""NN.P""],[""نه"",""PT""],[""واردوي"",""VB.P""]]"
363,ځان او خاورې د دفاع لپاره جګړې ته دوام ورکړو,ځانBاوBخاورېBدBدفاعBلپارهBجګړېBتهBدوامBورکړو,"[[""ځان"", ""PR.DIS""], [""او"", ""CC""], [""خاورې"", ""NN.C.1.F""], [""د"", ""IN""], [""دفاع"", ""NN.C.1.F""], [""لپاره"", ""PT""], [""جګړې"", ""NN.C.1.F""], [""ته"", ""PT""], [""دوام"", ""NN.C.1.M""], [""ورکړو"", ""NN.C.2""]]"
364,"نوموړی د ژوند په وروستی کرښه ولاړ وي ، چې ژوند وکړي یا هم ځان مړ کړي","نوموړیBدBژوندBپهBوروستیBکرښهBولاړBويB،BچېBژوندBوکړيBیاBهمBځانBمړBکړي","[[""نوموړی"", ""JJ""], [""د"", ""IN""], [""ژوند"", ""NN.C.1.M""], [""په"", ""IN""], [""وروستی"", ""JJ""], [""کرښه"", ""NN.C.1.F""], [""ولاړ"", ""JJ""], [""وي"", ""VB.DC""], [""،"", ""PU""], [""چې"", ""CC""], [""ژوند"", ""NN.C.1.M""], [""وکړي"", ""VB.H""], [""یا"", ""CC""], [""هم"", ""RB""], [""ځان"", ""PR.DIS""], [""مړ"", ""JJ""], [""کړي"", ""VB.DX""]]"
365,"په فلم کې به د راشد ، نبي او افغانستان د کرکټ په اړه د ځینو نړیوالو مبصرینو نظر هم واخیستل شي","پهBفلمBکېBبهBدBراشدB،BنبيBاوBافغانستانBدBکرکټBپهBاړهBدBځینوBنړیوالوBمبصرینوBنظرBهمBواخیستلBشي","[[""په"", ""IN""], [""فلم"", ""NN.C.1.M""], [""کې"", ""PT""], [""به"", ""BA""], [""د"", ""IN""], [""راشد"", ""NN.P""], [""،"", ""PU""], [""نبي"", ""NN.P""], [""او"", ""CC""], [""افغانستان"", ""NN.P""], [""د"", ""IN""], [""کرکټ"", ""NN.C.1.M""], [""په"", ""IN""], [""اړه"", ""NN.C.1.F""], [""د"", ""IN""], [""ځینو"", ""JJ""], [""نړیوالو"", ""JJ""], [""مبصرینو"", ""NN.C.2""], [""نظر"", ""NN.C.1.M""], [""هم"", ""RB""], [""واخیستل"", ""VB.P""], [""شي"", ""VB.H""]]"
366,پاکستان سپر لیګ شپږم پړاو خوندور میچز په ابوظهبي کښی روان دي,پاکستانBسپرBلیګBشپږمBپړاوBخوندورBمیچزBپهBابوظهبيBکښیBروانBدي,"[[""پاکستان"", ""NN.P""], [""سپر"", ""NN.C.1.M""], [""لیګ"", ""NN.C.1.M""], [""شپږم"", ""NB""], [""پړاو"", ""NN.C.1.M""], [""خوندور"", ""JJ""], [""میچز"", ""NN.C.2""], [""په"", ""IN""], [""ابوظهبي"", ""NN.P""], [""کښی"", ""PT""], [""روان"", ""JJ""], [""دي"", ""VB.PC""]]"
367,"د کابل د معتادینو روغتون پخوانی مشر ډاکټر سلیمان طارق امریکا غږ ته وویل کله چې روږدی کس د روژې په میاشت کې د ورځې له خوا نشه نه کوي ، د شپې له خوا دې هم همدا کار وکړي","دBکابلBدBمعتادینوBروغتونBپخوانیBمشرBډاکټرBسلیمانSطارقBامریکاSغږBتهBوویلBکلهBچېBروږدیBکسBدBروژېBپهBمیاشتBکېBدBورځېBلهSخواBنشهBنهBکويB،BدBشپېBلهSخواBدېBهمBهمداBکارBوکړي","[[""د"",""IN""],[""کابل"",""NN.P""],[""د"",""IN""],[""معتادینو"",""NN.C.2""],[""روغتون"",""NN.C.1.M""],[""پخوانی"",""JJ""],[""مشر"",""JJ""],[""ډاکټر"",""NN.C.1.M""],[""سلیمان طارق"",""NN.P""],[""امریکا غږ"",""NN.P""],[""ته"",""PT""],[""وویل"",""VB.INF""],[""کله"",""RB""],[""چې"",""CC""],[""روږدی"",""JJ""],[""کس"",""NN.C.1.M""],[""د"",""IN""],[""روژې"",""NN.C.1.F""],[""په"",""IN""],[""میاشت"",""NN.C.1.F""],[""کې"",""PT""],[""د"",""IN""],[""ورځې"",""NN.C.1.F""],[""له خوا"",""RB""],[""نشه"",""NN.C.1.F""],[""نه"",""PT""],[""کوي"",""VB.PX""],[""،"",""PU""],[""د"",""IN""],[""شپې"",""NN.C.1.F""],[""له خوا"",""RB""],[""دې"",""DT""],[""هم"",""RB""],[""همدا"",""DT""],[""کار"",""NN.C.1.M""],[""وکړي"",""VB.H""]]"
368,او دا چې د دورې د منسوخ کولو نه پس مونږ خبر کړے شو,اوBداBچېBدBدورېBدBمنسوخBکولوBنهBپسBمونږBخبرBکړےBشو,"[[""او"", ""CC""], [""دا"", ""DT""], [""چې"", ""CC""], [""د"", ""IN""], [""دورې"", ""RB""], [""د"", ""IN""], [""منسوخ"", ""JJ""], [""کولو"", ""VB.G""], [""نه"", ""PT""], [""پس"", ""RB""], [""مونږ"", ""PR.P.i""], [""خبر"", ""NN.C.1.M""], [""کړے"", ""VB.DX""], [""شو"", ""VB.DX""]]"
369,د هند تر ولکې لاندې کشمیر کې چارواکي وايي له وسلوالو بیلتونپالو سره نښته کې پنځه تنه هندي پوځیان وژل شوي,دBهندBترBولکېBلاندېBکشمیرBکېBچارواکيBواييBلهBوسلوالوBبیلتونپالوBسرهBنښتهBکېBپنځهBتنهBهنديBپوځیانBوژلBشوي,"[[""د"", ""IN""], [""هند"", ""NN.P""], [""تر"", ""IN""], [""ولکې"", ""JJ""], [""لاندې"", ""RB""], [""کشمیر"", ""NN.P""], [""کې"", ""PT""], [""چارواکي"", ""NN.C.2""], [""وايي"", ""VB.P""], [""له"", ""IN""], [""وسلوالو"", ""NN.C.2""], [""بیلتونپالو"", ""NN.C.2""], [""سره"", ""PT""], [""نښته"", ""NN.C.1.F""], [""کې"", ""PT""], [""پنځه"", ""NB""], [""تنه"", ""NN.C.2""], [""هندي"", ""JJ""], [""پوځیان"", ""NN.C.2""], [""وژل"", ""VB.INF""], [""شوي"", ""VB.DX""]]"
370,چې نړیوال بانک په دې هڅه کې دی څو افغانستان ته د کنګل شویو بانکي زېرمو ۵۰۰ میلیونه ډالره را خلاص او د نړیوالو بشري سازمانونو په واک کې ورکړي,چېBنړیوالBبانکBپهBدېBهڅهBکېBدیBڅوBافغانستانBتهBدBکنګلBشویوBبانکيBزېرموB۵۰۰BمیلیونهBډالرهBراBخلاصBاوBدBنړیوالوBبشريBسازمانونوBپهBواکBکېBورکړي,"[[""چې"", ""CC""], [""نړیوال"", ""JJ""], [""بانک"", ""NN.C.1.M""], [""په"", ""IN""], [""دې"", ""DT""], [""هڅه"", ""NN.C.1.F""], [""کې"", ""PT""], [""دی"", ""VB.PC""], [""څو"", ""RP""], [""افغانستان"", ""NN.P""], [""ته"", ""PT""], [""د"", ""IN""], [""کنګل"", ""JJ""], [""شویو"", ""VB.N""], [""بانکي"", ""JJ""], [""زېرمو"", ""NN.C.2""], [""۵۰۰"", ""NB""], [""میلیونه"", ""NB""], [""ډالره"", ""NN.C.2""], [""را"", ""FX""], [""خلاص"", ""JJ""], [""او"", ""CC""], [""د"", ""IN""], [""نړیوالو"", ""JJ""], [""بشري"", ""JJ""], [""سازمانونو"", ""NN.C.2""], [""په"", ""IN""], [""واک"", ""NN.C.1.M""], [""کې"", ""PT""], [""ورکړي"", ""VB.D""]]"
371,د خارجه دفتر لخوا جاري شوي بيان ترمخه د افغانستان پخوانې وزيراعظم او د حزب اسلامي ګلبدين حکمتيار به,دBخارجهBدفترBلخواBجاريBشويBبيانBترمخهBدBافغانستانBپخوانېBوزيراعظمBاوBدBحزبSاسلاميBګلبدينSحکمتيارBبه,"[[""د"", ""IN""], [""خارجه"", ""JJ""], [""دفتر"", ""NN.C.1.M""], [""لخوا"", ""RB""], [""جاري"", ""JJ""], [""شوي"", ""VB.DX""], [""بيان"", ""NN.C.1.M""], [""ترمخه"", ""RB""], [""د"", ""IN""], [""افغانستان"", ""NN.P""], [""پخوانې"", ""JJ""], [""وزيراعظم"", ""NN.C.1.M""], [""او"", ""CC""], [""د"", ""IN""], [""حزب اسلامي"", ""NN.P""], [""ګلبدين حکمتيار"", ""NN.P""], [""به"", ""BA""]]"
372,نوموړي له ټولو هېوادونو او نړیوالو ادارو غوښتي چې په دې برخه کې مرسته وکړي,نوموړيBلهBټولوBهېوادونوBاوBنړیوالوBاداروBغوښتيBچېBپهBدېBبرخهBکېBمرستهBوکړي,"[[""نوموړي"", ""JJ""], [""له"", ""IN""], [""ټولو"", ""RB""], [""هېوادونو"", ""NN.C.2""], [""او"", ""CC""], [""نړیوالو"", ""JJ""], [""ادارو"", ""NN.C.2""], [""غوښتي"", ""JJ""], [""چې"", ""CC""], [""په"", ""IN""], [""دې"", ""DT""], [""برخه"", ""NN.C.1.F""], [""کې"", ""PT""], [""مرسته"", ""NN.C.1.F""], [""وکړي"", ""VB.H""]]"
373,همکار مې د خپرونې د ژبې او مالوماتو په اړه څو پوښتنې ورنه وکړې,همکارBمېBدBخپرونېBدBژبېBاوBمالوماتوBپهBاړهBڅوBپوښتنېBورنهBوکړې,"[[""همکار"", ""NN.C.1.M""], [""مې"", ""PR.C""], [""د"", ""IN""], [""خپرونې"", ""NN.C.1.F""], [""د"", ""IN""], [""ژبې"", ""NN.C.1.F""], [""او"", ""CC""], [""مالوماتو"", ""NN.C.2""], [""په"", ""IN""], [""اړه"", ""NN.C.1.F""], [""څو"", ""RP""], [""پوښتنې"", ""NN.C.1.F""], [""ورنه"", ""PT""], [""وکړې"", ""VB.H""]]"
374,له دوی کرکه لرم خو دا مهال د داسې خلکو په منځ کې يم چه دا ورته ډېر اهميت نه لري,لهBدویBکرکهBلرمBخوBداBمهالBدBداسېBخلکوBپهBمنځBکېBيمBچهBداBورتهBډېرBاهميتBنهBلري,"[[""له"", ""IN""], [""دوی"", ""PR.P.iii""], [""کرکه"", ""NN.C.1.F""], [""لرم"", ""VB.P""], [""خو"", ""CC""], [""دا"", ""DT""], [""مهال"", ""RB""], [""د"", ""IN""], [""داسې"", ""RB""], [""خلکو"", ""NN.C.2""], [""په"", ""IN""], [""منځ"", ""NN.C.1.M""], [""کې"", ""PT""], [""يم"", ""VB.PC""], [""چه"", ""FX""], [""دا"", ""DT""], [""ورته"", ""PR.P.iii""], [""ډېر"", ""JJ""], [""اهميت"", ""NN.C.1.M""], [""نه"", ""PT""], [""لري"", ""VB.P""]]"
375,زمونږ په هغۀ ايمان دے چې بيا به مو هم بچ کوی,زمونږBپهBهغۀBايمانBدےBچېBبياBبهBموBهمBبچBکوی,"[[""زمونږ"", ""PR.P$""], [""په"", ""IN""], [""هغۀ"", ""PR.P.iii""], [""ايمان"", ""NN.C.1.M""], [""دے"", ""VB.PC""], [""چې"", ""CC""], [""بيا"", ""RB""], [""به"", ""BA""], [""مو"", ""PR.C""], [""هم"", ""RB""], [""بچ"", ""JJ""], [""کوی"", ""VB.DX""]]"
376,ښاغلی داود خان کله نا کله به یې پښتو وویله,ښاغلیBداودSخانBکلهSناSکلهBبهBیېBپښتوBوویله,"[[""ښاغلی"", ""JJ""], [""داود خان"", ""NN.P""], [""کله نا کله"", ""RB""], [""به"", ""BA""], [""یې"", ""PR.C""], [""پښتو"", ""NN.P""], [""وویله"", ""VB.D""]]"
377,نور عادي کیڼ لاس بالران داسې توپ اچونه نه کوي او یا یې نشي کولی,نورBعاديBکیڼBلاسBبالرانBداسېBتوپBاچونهBنهBکويBاوBیاBیېBنشيBکولی,"[[""نور"", ""JJ""], [""عادي"", ""JJ""], [""کیڼ"", ""JJ""], [""لاس"", ""NN.C.1.M""], [""بالران"", ""NN.C.2""], [""داسې"", ""RB""], [""توپ"", ""NN.C.1.M""], [""اچونه"", ""NN.C.1.F""], [""نه"", ""PT""], [""کوي"", ""VB.PX""], [""او"", ""CC""], [""یا"", ""CC""], [""یې"", ""PR.C""], [""نشي"", ""RB""], [""کولی"", ""VB.H""]]"
378,بېشکه الله په خلقو باندې خامخا ډېر نرمي کوونکی,بېشکهBاللهBپهBخلقوBباندېBخامخاBډېرBنرميBکوونکی,"[[""بېشکه"", ""RB""], [""الله"", ""NN.P""], [""په"", ""IN""], [""خلقو"", ""NN.C.2""], [""باندې"", ""RB""], [""خامخا"", ""RB""], [""ډېر"", ""JJ""], [""نرمي"", ""NN.C.1.F""], [""کوونکی"", ""NN.C.1.M""]]"
379,خو د بېځایه شویو اکثریت یې داخلي کډوال دي چې د جګړو او خشونت له کبله یې خپل کورونه او سیمې پرېښي او تښتېدلی دي,خوBدBبېځایهBشویوBاکثریتBیېBداخليBکډوالBديBچېBدBجګړوBاوBخشونتBلهSکبلهBیېBخپلBکورونهBاوBسیمېBپرېښيBاوBتښتېدلیBدي,"[[""خو"", ""CC""], [""د"", ""IN""], [""بېځایه"", ""JJ""], [""شویو"", ""VB.N""], [""اکثریت"", ""NN.C.1.M""], [""یې"", ""PR.C""], [""داخلي"", ""JJ""], [""کډوال"", ""NN.C.1.M""], [""دي"", ""VB.PC""], [""چې"", ""CC""], [""د"", ""IN""], [""جګړو"", ""NN.C.2""], [""او"", ""CC""], [""خشونت"", ""NN.C.1.M""], [""له کبله"", ""RB""], [""یې"", ""PR.C""], [""خپل"", ""JJ""], [""کورونه"", ""NN.C.2""], [""او"", ""CC""], [""سیمې"", ""NN.C.1.F""], [""پرېښي"", ""VB.D""], [""او"", ""CC""], [""تښتېدلی"", ""VB.D""], [""دي"", ""VB.PC""]]"
380,راپورونه وايي چې په نړۍ کې د کرونا ویروس د نویو پېښو تر نیمایي زیاته برخه یې په اروپا کې دي چې په هرو څلورو ورځو کې لږترلږه یو میلیون خلک په دغه ویروس اخته کیږي,راپورونهBواييBچېBپهBنړۍBکېBدBکروناSویروسBدBنویوBپېښوBترBنیمایيBزیاتهBبرخهBیېBپهBاروپاBکېBديBچېBپهBهروBڅلوروBورځوBکېBلږترلږهBیوBمیلیونBخلکBپهBدغهBویروسBاختهBکیږي,"[[""راپورونه"",""NN.C.2""],[""وايي"",""VB.P""],[""چې"",""CC""],[""په"",""IN""],[""نړۍ"",""NN.C.1.F""],[""کې"",""PT""],[""د"",""IN""],[""کرونا ویروس"",""NN.P""],[""د"",""IN""],[""نویو"",""JJ""],[""پېښو"",""NN.C.2""],[""تر"",""IN""],[""نیمایي"",""JJ""],[""زیاته"",""JJ""],[""برخه"",""NN.C.1.F""],[""یې"",""PR.C""],[""په"",""IN""],[""اروپا"",""NN.P""],[""کې"",""PT""],[""دي"",""VB.PC""],[""چې"",""CC""],[""په"",""IN""],[""هرو"",""RB""],[""څلورو"",""NB""],[""ورځو"",""NN.C.2""],[""کې"",""PT""],[""لږترلږه"",""RB""],[""یو"",""DT""],[""میلیون"",""NB""],[""خلک"",""NN.C.2""],[""په"",""IN""],[""دغه"",""DT""],[""ویروس"",""NN.C.1.M""],[""اخته"",""JJ""],[""کیږي"",""VB.P""]]"
381,خو په همدې ګډوډۍ کې ماشوم له خپلې کورنۍ لادرکه شو او وروسته د یو بل افغان وګړي لخوا وموندل شو,خوBپهBهمدېBګډوډۍBکېBماشومBلهBخپلېBکورنۍBلادرکهBشوBاوBوروستهBدBیوBبلBافغانBوګړيBلخواBوموندلBشو,"[[""خو"", ""CC""], [""په"", ""IN""], [""همدې"", ""DT""], [""ګډوډۍ"", ""NN.C.1.F""], [""کې"", ""PT""], [""ماشوم"", ""NN.C.1.M""], [""له"", ""IN""], [""خپلې"", ""JJ""], [""کورنۍ"", ""NN.C.1.F""], [""لادرکه"", ""JJ""], [""شو"", ""VB.DX""], [""او"", ""CC""], [""وروسته"", ""RB""], [""د"", ""IN""], [""یو"", ""DT""], [""بل"", ""JJ""], [""افغان"", ""JJ""], [""وګړي"", ""NN.C.2""], [""لخوا"", ""RB""], [""وموندل"", ""VB.D""], [""شو"", ""VB.DX""]]"
382,د هغه وينا وه چې دا چاودنه ورلډ ګارډ نومي د بهرملکي سيکيورټي کمپني اهلکارو په ګاډي شوي ده,دBهغهBويناBوهBچېBداBچاودنهBورلډBګارډBنوميBدBبهرملکيBسيکيورټيBکمپنيBاهلکاروBپهBګاډيBشويBده,"[[""د"", ""IN""], [""هغه"", ""DT""], [""وينا"", ""NN.C.1.F""], [""وه"", ""VB.DC""], [""چې"", ""CC""], [""دا"", ""DT""], [""چاودنه"", ""NN.C.1.F""], [""ورلډ"", ""NN.C.1.M""], [""ګارډ"", ""NN.C.1.M""], [""نومي"", ""JJ""], [""د"", ""IN""], [""بهرملکي"", ""JJ""], [""سيکيورټي"", ""NN.C.1.F""], [""کمپني"", ""NN.C.1.F""], [""اهلکارو"", ""NN.C.2""], [""په"", ""IN""], [""ګاډي"", ""NN.C.2""], [""شوي"", ""VB.DX""], [""ده"", ""VB.PC""]]"
383,"ژبه د تفکر يوه وسيله ده ، نو ځکه په ژبه کې پرمختګ او ښه والی د زده کوونکي ذهني ځواک پياوړی کوي","ژبهBدBتفکرBيوهBوسيلهBدهB،BنوBځکهBپهBژبهBکېBپرمختګBاوBښهSوالیBدBزدهBکوونکيBذهنيBځواکBپياوړیBکوي","[[""ژبه"", ""NN.C.1.F""], [""د"", ""IN""], [""تفکر"", ""NN.C.1.M""], [""يوه"", ""DT""], [""وسيله"", ""NN.C.1.F""], [""ده"", ""VB.PC""], [""،"", ""PU""], [""نو"", ""CC""], [""ځکه"", ""RB""], [""په"", ""IN""], [""ژبه"", ""NN.C.1.F""], [""کې"", ""PT""], [""پرمختګ"", ""NN.C.1.M""], [""او"", ""CC""], [""ښه والی"", ""NN.C.1.M""], [""د"", ""IN""], [""زده"", ""JJ""], [""کوونکي"", ""NN.C.2""], [""ذهني"", ""JJ""], [""ځواک"", ""NN.C.1.M""], [""پياوړی"", ""JJ""], [""کوي"", ""VB.PX""]]"
384,دوی تراوسه ۸۶ نومرې اخیستې او د مۍ له ۳۱ یې ۲۸ سیالۍ ګټلې دي,دویBتراوسهB۸۶BنومرېBاخیستېBاوBدBمۍBلهB۳۱BیېB۲۸BسیالۍBګټلېBدي,"[[""دوی"", ""PR.P.iii""], [""تراوسه"", ""RB""], [""۸۶"", ""NB""], [""نومرې"", ""NN.C.1.F""], [""اخیستې"", ""VB.D""], [""او"", ""CC""], [""د"", ""IN""], [""مۍ"", ""NN.C.2""], [""له"", ""IN""], [""۳۱"", ""NB""], [""یې"", ""PR.C""], [""۲۸"", ""NB""], [""سیالۍ"", ""NN.C.1.F""], [""ګټلې"", ""VB.D""], [""دي"", ""VB.PC""]]"
385,بادرنګ بادرنګ په خپل ترکیب کې ۹۵ سلنه اوبه لري,بادرنګBبادرنګBپهBخپلBترکیبBکېB۹۵BسلنهBاوبهBلري,"[[""بادرنګ"", ""NN.C.1.M""], [""بادرنګ"", ""NN.C.1.M""], [""په"", ""IN""], [""خپل"", ""JJ""], [""ترکیب"", ""NN.C.1.M""], [""کې"", ""PT""], [""۹۵"", ""NB""], [""سلنه"", ""NN.C.1.F""], [""اوبه"", ""NN.C.2""], [""لري"", ""VB.P""]]"
